feature,importance,task,feature_set,model,fold
numeric__uplink_delivery_ratio,2.263161485157494e-05,binary_attack,all,extra_trees,3
numeric__route_miss_delta,0.0,binary_attack,all,extra_trees,3
numeric__reachable_fraction,0.0,binary_attack,all,extra_trees,3
numeric__root_mean_rssi,0.0,binary_attack,all,extra_trees,3
numeric__mean_neighbors,0.0,binary_attack,all,extra_trees,3
numeric__client_mac_rx_delta,0.17010647030188292,binary_attack,all,extra_trees,4
numeric__client_radio_tx_fraction,0.08848801724301425,binary_attack,all,extra_trees,4
numeric__client_energest_tx_delta,0.08765722129466798,binary_attack,all,extra_trees,4
numeric__client_energest_listen_delta,0.08684813694387823,binary_attack,all,extra_trees,4
numeric__root_mac_rx_delta,0.07199005943515384,binary_attack,all,extra_trees,4
numeric__mean_rank,0.06658284040372872,binary_attack,all,extra_trees,4
numeric__mean_etx_x100,0.06354817691743929,binary_attack,all,extra_trees,4
numeric__client_mac_ack_ratio,0.05183645237797563,binary_attack,all,extra_trees,4
numeric__client_mac_acked_delta,0.04302299040297823,binary_attack,all,extra_trees,4
numeric__p95_etx_x100,0.04273350268706135,binary_attack,all,extra_trees,4
numeric__root_mean_etx_x100,0.03997618186968854,binary_attack,all,extra_trees,4
numeric__client_mac_tx_attempts_delta,0.03899177977167201,binary_attack,all,extra_trees,4
numeric__root_mac_ack_ratio,0.03341472974259731,binary_attack,all,extra_trees,4
numeric__std_etx_x100,0.02835987819203319,binary_attack,all,extra_trees,4
numeric__root_mac_tx_attempts_delta,0.01905427413774269,binary_attack,all,extra_trees,4
numeric__root_energest_tx_delta,0.01322348533921027,binary_attack,all,extra_trees,4
numeric__root_radio_tx_fraction,0.013036854879935484,binary_attack,all,extra_trees,4
