task,feature_set,model,configuration,seed,rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,1006,238,0.6638655462184874,0.661764705882353,0.6598056032018296,0.665114759454382,0.3211308144666282
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,1007,238,0.6932773109243697,0.6887254901960784,0.6879837652425336,0.693789589538741,0.37619206243122316
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,1008,238,0.6302521008403361,0.616421568627451,0.6171675074943335,0.6272783296253356,0.2366260971807301
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,1009,238,0.6176470588235294,0.6139705882352942,0.6126620763659125,0.6189394616829115,0.2264040656409836
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,1010,238,0.5882352941176471,0.5870098039215687,0.5846866096866097,0.5901709401709402,0.17238697841296924
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,1001,238,1.0,1.0,1.0,1.0,1.0
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,1002,238,1.0,1.0,1.0,1.0,1.0
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,1003,238,1.0,1.0,1.0,1.0,1.0
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,1004,238,1.0,1.0,1.0,1.0,1.0
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,1005,238,1.0,1.0,1.0,1.0,1.0
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,1006,238,1.0,1.0,1.0,1.0,1.0
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,1007,238,1.0,1.0,1.0,1.0,1.0
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,1008,238,1.0,1.0,1.0,1.0,1.0
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,1009,238,1.0,1.0,1.0,1.0,1.0
binary_attack,mac,extra_trees,binary_attack__mac__extra_trees,1010,238,1.0,1.0,1.0,1.0,1.0
binary_attack,radio,extra_trees,binary_attack__radio__extra_trees,1001,238,0.9369747899159664,0.9313725490196079,0.9350472135800447,0.9366456915171505,0.8718107484463659
binary_attack,radio,extra_trees,binary_attack__radio__extra_trees,1002,238,0.9537815126050421,0.9534313725490196,0.9528755287552875,0.9538089666610952,0.9057860012139763
binary_attack,radio,extra_trees,binary_attack__radio__extra_trees,1003,238,0.9537815126050421,0.954656862745098,0.9529838550365461,0.9538587052729609,0.9062808776752195
binary_attack,radio,extra_trees,binary_attack__radio__extra_trees,1004,238,0.9495798319327731,0.9473039215686274,0.9483992194839922,0.9495142423522853,0.8969385666089575
