task,feature_set,model,feature,mean_abs_shap,sd_abs_shap,min_abs_shap,max_abs_shap,folds,explained_samples
cause_family,all,random_forest,mean_neighbors,0.0,0.0,0.0,0.0,5,1000
cause_family,all,random_forest,reachable_fraction,0.0,0.0,0.0,0.0,5,1000
cause_family,all,random_forest,root_mean_rssi,0.0,0.0,0.0,0.0,5,1000
cause_family,all,random_forest,route_miss_delta,0.0,0.0,0.0,0.0,5,1000
impairment_severity,routing,extra_trees,mean_rank,0.10707984742854486,0.0065597580489611985,0.09896880825069058,0.11649823774190379,5,1000
impairment_severity,routing,extra_trees,mean_etx_x100,0.09857833324884419,0.004437902699843127,0.09301381179701593,0.1033714703272074,5,1000
impairment_severity,routing,extra_trees,root_mean_etx_x100,0.07190716314988099,0.004338115889314207,0.0654133433536077,0.07751483260139022,5,1000
impairment_severity,routing,extra_trees,p95_etx_x100,0.043577162942018285,0.0023721100774408348,0.04068577396419922,0.0471247277339429,5,1000
impairment_severity,routing,extra_trees,std_etx_x100,0.027184126154311594,0.0009687197581076258,0.025871527837249043,0.02818373403088158,5,1000
impairment_severity,routing,extra_trees,mean_rssi,0.026675060232249782,0.005453843606289849,0.019964463269353062,0.031584265913928225,5,1000
impairment_severity,routing,extra_trees,parent_changes_delta,0.0008523418298157302,0.00020808199315620508,0.0005841254467369181,0.0010811785896686146,5,1000
impairment_severity,routing,extra_trees,mean_neighbors,0.0,0.0,0.0,0.0,5,1000
impairment_severity,routing,extra_trees,root_mean_rssi,0.0,0.0,0.0,0.0,5,1000
seven_class,all,extra_trees,root_mac_rx_delta,0.035789045473732975,0.0013234787676822237,0.034628395795915506,0.03807250217763588,5,1000
seven_class,all,extra_trees,client_mac_rx_delta,0.029463784339022314,0.0008095434928700476,0.02873204774660094,0.0307860560772854,5,1000
seven_class,all,extra_trees,mean_rank,0.02898594759680212,0.0019245141897510974,0.027122353229664345,0.03212568126833808,5,1000
seven_class,all,extra_trees,mean_etx_x100,0.027140723505007975,0.0010134677249733094,0.026111980664606824,0.02866053424085184,5,1000
seven_class,all,extra_trees,root_mean_etx_x100,0.019645567374411022,0.0015696725994823499,0.017812608618820048,0.02209501995690076,5,1000
seven_class,all,extra_trees,client_energest_listen_delta,0.017547103308877505,0.0011210106113094078,0.016701652301037033,0.019490936640575964,5,1000
seven_class,all,extra_trees,client_mac_acked_delta,0.017457591711914487,0.0002545943839942279,0.01717940584733841,0.01787150185460729,5,1000
seven_class,all,extra_trees,client_energest_tx_delta,0.017333936834473585,0.0003755464428390349,0.01686211951023866,0.017729769900406762,5,1000
seven_class,all,extra_trees,client_radio_tx_fraction,0.017122049751798277,0.0004799956201753664,0.016778291423932674,0.017902988261094724,5,1000
seven_class,all,extra_trees,p95_etx_x100,0.016433567182177568,0.0010564961287439626,0.01527729273013731,0.018061368977084772,5,1000
seven_class,all,extra_trees,client_mac_tx_attempts_delta,0.01357488632677364,0.0011065517329110245,0.011865700881578647,0.01460068250579768,5,1000
seven_class,all,extra_trees,client_mac_ack_ratio,0.010990509481492853,0.0004950669176534991,0.010579091540848807,0.011842834053492929,5,1000
seven_class,all,extra_trees,std_etx_x100,0.009855961883862292,0.0006030055247047763,0.008932139681240587,0.010561412999961321,5,1000
seven_class,all,extra_trees,root_radio_tx_fraction,0.007241793141381035,0.00032253945332341987,0.006718615996919344,0.0075378653409451475,5,1000
seven_class,all,extra_trees,root_mac_ack_ratio,0.007133583383476909,0.000654487182148603,0.006566245945263108,0.008221557424398396,5,1000
seven_class,all,extra_trees,mean_rssi,0.006708717930788077,0.0014905229048432728,0.004120945423691142,0.007735154601572839,5,1000
seven_class,all,extra_trees,root_energest_tx_delta,0.006522827556452888,0.0005725521888454507,0.005925111860163528,0.007345163167906764,5,1000
seven_class,all,extra_trees,root_mac_tx_attempts_delta,0.003552395761732079,0.00023613522079681505,0.00318401772391983,0.003763080044879518,5,1000
seven_class,all,extra_trees,mean_rtt_ms,0.0027190694089811794,0.00017611274413810473,0.0025289043675599536,0.0028947146387674097,5,1000
