task,feature_set,model,output_class,feature,mean_abs_shap,sd_abs_shap,folds,explained_samples
impairment_severity,routing,extra_trees,RX60,std_etx_x100,0.024650606953422995,0.0015361012132446288,5,1000
impairment_severity,routing,extra_trees,RX60,parent_changes_delta,0.0005672365103267038,0.00030913917818793614,5,1000
impairment_severity,routing,extra_trees,RX60,mean_neighbors,0.0,0.0,5,1000
impairment_severity,routing,extra_trees,RX60,root_mean_rssi,0.0,0.0,5,1000
impairment_severity,routing,extra_trees,RX75,mean_rank,0.09960584140573427,0.01278298303904161,5,1000
impairment_severity,routing,extra_trees,RX75,mean_etx_x100,0.09772512579055835,0.007228205786311425,5,1000
impairment_severity,routing,extra_trees,RX75,root_mean_etx_x100,0.0791956771202866,0.005661048835161869,5,1000
impairment_severity,routing,extra_trees,RX75,p95_etx_x100,0.04009763368363649,0.004745183596693009,5,1000
impairment_severity,routing,extra_trees,RX75,mean_rssi,0.0270209729275242,0.008655868824826315,5,1000
impairment_severity,routing,extra_trees,RX75,std_etx_x100,0.024332128933854676,0.0022503850580893386,5,1000
impairment_severity,routing,extra_trees,RX75,parent_changes_delta,0.001320191396799572,0.0005466673173664369,5,1000
impairment_severity,routing,extra_trees,RX75,mean_neighbors,0.0,0.0,5,1000
impairment_severity,routing,extra_trees,RX75,root_mean_rssi,0.0,0.0,5,1000
impairment_severity,routing,extra_trees,RX90,mean_rank,0.11464826981244565,0.005327242295383614,5,1000
impairment_severity,routing,extra_trees,RX90,mean_etx_x100,0.1010238467718989,0.007791002272778744,5,1000
impairment_severity,routing,extra_trees,RX90,root_mean_etx_x100,0.06602267348952329,0.008959893857008114,5,1000
impairment_severity,routing,extra_trees,RX90,p95_etx_x100,0.041000101906895445,0.0016933458679621635,5,1000
impairment_severity,routing,extra_trees,RX90,std_etx_x100,0.02546243173586226,0.0013787602421726473,5,1000
impairment_severity,routing,extra_trees,RX90,mean_rssi,0.022820030943398666,0.007754316230401767,5,1000
impairment_severity,routing,extra_trees,RX90,parent_changes_delta,0.0012834141109279722,0.0005346270834288827,5,1000
impairment_severity,routing,extra_trees,RX90,mean_neighbors,0.0,0.0,5,1000
impairment_severity,routing,extra_trees,RX90,root_mean_rssi,0.0,0.0,5,1000
seven_class,all,extra_trees,Clean,client_mac_rx_delta,0.053362957850376994,0.0019249522309200179,5,1000
seven_class,all,extra_trees,Clean,client_energest_listen_delta,0.03639039497142873,0.002347370466314623,5,1000
seven_class,all,extra_trees,Clean,client_energest_tx_delta,0.03582223935583269,0.0014490803276233277,5,1000
seven_class,all,extra_trees,Clean,client_radio_tx_fraction,0.03560584880382107,0.0010863974146766862,5,1000
seven_class,all,extra_trees,Clean,mean_rank,0.033506392674429536,0.0010346066109113592,5,1000
seven_class,all,extra_trees,Clean,mean_etx_x100,0.028471249126726727,0.0009582509493629902,5,1000
seven_class,all,extra_trees,Clean,root_mean_etx_x100,0.017855869376519586,0.0009792215615325298,5,1000
seven_class,all,extra_trees,Clean,p95_etx_x100,0.017119342364199226,0.0008313056305680807,5,1000
seven_class,all,extra_trees,Clean,root_mac_rx_delta,0.015948148165457275,0.0004398623274943526,5,1000
seven_class,all,extra_trees,Clean,std_etx_x100,0.01026807407531723,0.0008181340067503011,5,1000
seven_class,all,extra_trees,Clean,client_mac_ack_ratio,0.010244084897095777,0.00036380149780159635,5,1000
seven_class,all,extra_trees,Clean,client_mac_acked_delta,0.009730692378714522,0.00019685582997884058,5,1000
seven_class,all,extra_trees,Clean,client_mac_tx_attempts_delta,0.00891407218174434,0.0007193809751419573,5,1000
seven_class,all,extra_trees,Clean,root_mac_ack_ratio,0.00870810319016243,0.0013283284013506976,5,1000
seven_class,all,extra_trees,Clean,root_radio_tx_fraction,0.006783951961198698,0.0005071425201691338,5,1000
seven_class,all,extra_trees,Clean,root_energest_tx_delta,0.006370984550703571,0.0008306790346560622,5,1000
seven_class,all,extra_trees,Clean,mean_rssi,0.0032792066767210067,0.0021176279999833405,5,1000
seven_class,all,extra_trees,Clean,root_mac_tx_attempts_delta,0.0030519904451186885,0.0005501337616271497,5,1000
seven_class,all,extra_trees,Clean,mean_rtt_ms,0.002138678141167596,0.0003881036978551537,5,1000
seven_class,all,extra_trees,Clean,root_server_tx_delta,0.0011171808221880032,5.367417682680994e-05,5,1000
seven_class,all,extra_trees,Clean,root_server_rx_delta,0.001109194793841993,0.000128626241526235,5,1000
seven_class,all,extra_trees,Clean,median_rtt_ms,0.0010645254362948967,0.0001774194441380038,5,1000
