task,feature_set,model,fold,train_seeds,test_seeds,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,roc_auc,pr_auc,roc_auc_ovr_macro
seven_class,all,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.976890756302521,0.976890756302521,0.9767764417813699,0.9767764417813698,0.9796145883102404,0.976890756302521,0.9735456505000428,,,0.998362580326248
seven_class,all,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,0.9894957983193278,0.9894957983193278,0.9894925028926866,0.9894925028926865,0.9898229959466945,0.9894957983193278,0.987801048974695,,,0.9999948508815291
seven_class,all,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,0.9810924369747899,0.98109243697479,0.9810895967915954,0.9810895967915954,0.9812356563178631,0.98109243697479,0.9779663551178273,,,0.9996807546548031
seven_class,all,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.9810924369747899,0.98109243697479,0.981083911703832,0.9810839117038319,0.9817088764989015,0.98109243697479,0.9780469398599063,,,0.9998867193936398
seven_class,all,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,0.9978991596638656,0.9978991596638656,0.9978990460742285,0.9978990460742285,0.9979296066252588,0.9978991596638656,0.9975541561455987,,,1.0
seven_class,all,extra_trees,pooled,,1001-1010,,2380,0.9852941176470589,0.9852941176470589,0.9853242045516065,0.9853242045516066,0.9854280832379937,0.9852941176470589,0.9828554857804549,,,0.9994470876585927
attack_subtype,application_qos,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",816,204,0.43137254901960786,0.4313725490196078,0.4340977862716993,0.43409778627169926,0.4378605564089435,0.4313725490196078,0.14720746435353893,,,0.6249819780853517
attack_subtype,application_qos,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",816,204,0.4215686274509804,0.4215686274509804,0.41769103873988933,0.41769103873988933,0.4160776205552325,0.4215686274509804,0.13270256869059618,,,0.6150158592848904
attack_subtype,application_qos,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",816,204,0.4803921568627451,0.48039215686274517,0.4777984393319111,0.4777984393319111,0.47962137598042426,0.48039215686274517,0.22162110358896814,,,0.656412197231834
attack_subtype,application_qos,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",816,204,0.38235294117647056,0.38235294117647056,0.3803672487541882,0.38036724875418815,0.37959247111282607,0.38235294117647056,0.07365962061523498,,,0.5853698096885813
attack_subtype,application_qos,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",816,204,0.46568627450980393,0.4656862745098039,0.46408290947298036,0.46408290947298036,0.46321900770121993,0.4656862745098039,0.19867985355975656,,,0.6455269607843137
attack_subtype,application_qos,extra_trees,pooled,,1001-1010,,1020,0.4362745098039216,0.4362745098039216,0.4348694065676823,0.43486940656768225,0.433732002480093,0.4362745098039216,0.15445474901257542,,,0.6245811707035754
attack_subtype,routing,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",816,204,0.36764705882352944,0.36764705882352944,0.3521829521829522,0.3521829521829522,0.3403225806451613,0.36764705882352944,0.0516721270937806,,,0.5842524509803921
attack_subtype,routing,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",816,204,0.5294117647058824,0.5294117647058824,0.5255314940533918,0.5255314940533918,0.523864734299517,0.5294117647058824,0.2947237798449259,,,0.744827710495963
attack_subtype,routing,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",816,204,0.47549019607843135,0.4754901960784314,0.40141922982138095,0.40141922982138095,0.5114717827483785,0.4754901960784314,0.26111648393354675,,,0.7678056516724338
attack_subtype,routing,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",816,204,0.4950980392156863,0.4950980392156863,0.4920155793573515,0.4920155793573515,0.4997334803786417,0.4950980392156863,0.24611336572138898,,,0.7125865051903114
attack_subtype,routing,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",816,204,0.5245098039215687,0.5245098039215687,0.5027636290157637,0.5027636290157637,0.49858735238936097,0.5245098039215687,0.29272328666660474,,,0.7129649653979238
attack_subtype,routing,extra_trees,pooled,,1001-1010,,1020,0.47843137254901963,0.4784313725490195,0.4560246512550839,0.4560246512550839,0.448140458653393,0.4784313725490195,0.22126781921553476,,,0.6870537773933103
attack_subtype,mac,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",816,204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0
attack_subtype,mac,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",816,204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0
attack_subtype,mac,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",816,204,0.9901960784313726,0.9901960784313726,0.9901960784313726,0.9901960784313726,0.9901960784313726,0.9901960784313726,0.9852941176470589,,,0.9999279123414072
attack_subtype,mac,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",816,204,0.9852941176470589,0.9852941176470589,0.9852933225195999,0.9852933225195999,0.9853630398730983,0.9852941176470589,0.977976427121279,,,0.9995674740484429
attack_subtype,mac,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",816,204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0
attack_subtype,mac,extra_trees,pooled,,1001-1010,,1020,0.9950980392156863,0.9950980392156863,0.9950980286145371,0.9950980286145371,0.9951008803421022,0.9950980392156863,0.9926484899786701,,,0.9999336793540946
attack_subtype,radio,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",816,204,0.7254901960784313,0.7254901960784313,0.7254308169298436,0.7254308169298435,0.7255411255411256,0.7254901960784313,0.5883201214732134,,,0.8810193194925029
attack_subtype,radio,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",816,204,0.7205882352941176,0.7205882352941176,0.7204522096608428,0.7204522096608427,0.7206933911159265,0.7205882352941176,0.58107087970103,,,0.872873414071511
attack_subtype,radio,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",816,204,0.7107843137254902,0.7107843137254902,0.7103928680995434,0.7103928680995434,0.7110241356816699,0.7107843137254902,0.5666873404073912,,,0.841208910034602
attack_subtype,radio,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",816,204,0.7450980392156863,0.7450980392156863,0.7448773448773448,0.7448773448773448,0.7453703703703703,0.7450980392156863,0.6180035650920734,,,0.8601679642445214
attack_subtype,radio,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",816,204,0.7205882352941176,0.7205882352941176,0.7187482993197278,0.7187482993197278,0.7220371604115775,0.7205882352941176,0.5834324519022399,,,0.8709090253748558
